review;sentiment
It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.;0
I have two more years left in this contract and I hate this phone.;0
If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.;0
Pretty piece of junk.;0
Linked to my phone without effort.;1
Highly recommend for any one who has a blue tooth phone.;1
If you hate earbugs, avoid this phone by all means.;0
Great software for Motorolas.;1
dont buy it.;0
I would have given no star if I was able.;0
Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.;0
I got it because it was so small and adorable.;1
Setup went very smoothly.;1
Unfortunately it did not work.;0
I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.;0
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.;0
So I basically threw my money out the window for nothing.;0
This battery is an excellent bargain!;1
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.;0
This is a great little item.;1
poor quality and service.;0
It is the best charger I have seen on the market yet.;1
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.;1
This particular model would not work with my Motorola Q smartphone.;0
I was looking for this headset for a long time and now that I've got it I couldn't be happier.;1
It has all the features I want;1
Fantastic earphones.;1
The bottowm line...another worthless, cheap gimmick from Sprint.;0
I was not happy with this item.;0
However I needed some better instructions.;0
bad fit, way too big.;0
Exactly what I wanted.;1
It finds my cell phone right away when I enter the car.;1
Great Phone.;1
Used and dirty.;0
Clear crisp sound.;1
Don't waste your money!.;0
Very disappointed in AccessoryOne.;0
It only recognizes the Phone as its storage device.;0
* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!;1
This is a good battery, and it got here really fast.;1
Truly awful.;0
Display is excellent and camera is as good as any from that year.;1
Very good stuff for the price.;1
Also makes it easier to hold on to.;1
They work about 2 weeks then break.;0
Earbud piece breaks easily.;0
Worth every penny.;1
i'm glad i found this product on amazon it is hard to find, it wasn't high priced.;1
Case was more or less an extra that I originally put on but later discarded because it scratched my ear.;0
Magical Help.;1
This phone tries very hard to do everything but fails at it's very ability to be a phone.;0
Piece of trash.;0
The mic is great.;1
the phone was unusable and was not new.;0
My headset works just peachy-keen.;1
useless phone, simply deaf.;0
This pair of headphones is the worst that I have ever had sound-wise.;0
However, the keypads are so tinny that I sometimes reach the wrong buttons.;0
I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.;1
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.;0
NOT WHAT I WANTED.;0
Saggy, floppy piece of junk.;0
Very satisifed with that.;1
I ordered this product first and was unhappy with it immediately.;0
This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.;0
All in all, I'm quite satisfied with this purchase.;1
We would recommend these to others.;1
Does not fit.;0
Verizon's bills, however, are difficult to understand even though their pricing plans are simple.;0
A week later after I activated it, it suddenly died.;0
Much less than the jawbone I was going to replace it with.;1
This is a great phone!.;1
The reception is excellent!;1
But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.;1
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.;1
All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.;0
