sentiment;review
0;this goofy gangster yarn never really elevates itself from being yet another earnestly generic crime-busting comic vehicle -- a well-intentioned remake that shows some spunk and promise but fails to register as anything distinctive or daring
1;tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure .
0;these spiders can outrun a motorcycle and wrap a person in a sticky cocoon in seconds , but they fall short of being interesting or entertaining .
0;you 've seen them a million times .
0;the angst-ridden , affluent slacker characters are more grating than engaging .
1;finally , a genre movie that delivers -- in a couple of genres , no less .
1;a comprehensive and provocative film -- one that pushes the boundaries of biography , and challenges its audience .
0;looks like a high school film project completed the day before it was due .
1;marvelous , merry and , yes , melancholy film .
1;the hours is what movies are supposed to be ...
0;ihops do n't pile on this much syrup .
1;an intelligent , earnest , intimate film that drops the ball only when it pauses for blunt exposition to make sure you 're getting its metaphysical point .
0;it 's a film that hinges on its casting , and glover really does n't fit the part .
1;a pleasant enough movie , held together by skilled ensemble actors .
0;the film meant well in its horse tale about freedom , but was n't able to reach the heart because it was too overbearing .
1;a harmless and mildly amusing family comedy .
1;on the surface , it 's a lovers-on-the-run crime flick , but it has a lot in common with piesiewicz 's and kieslowski 's earlier work , films like the double life of veronique .
1;aside from being the funniest movie of the year , simone , andrew niccol 's brilliant anti-hollywood satire , has a wickedly eccentric enchantment to it .
0;even legends like alfred hitchcock and john huston occasionally directed trifles ... so it 's no surprise to see a world-class filmmaker like zhang yimou behind the camera for a yarn that 's ultimately rather inconsequential .
0;a film so tedious that it is impossible to care whether that boast is true or not .
0;for anyone who grew up on disney 's 1950 ### treasure island , or remembers the 1934 victor fleming classic , this one feels like an impostor .
0;a benign but forgettable sci-fi diversion .
1;moore 's complex and important film is also , believe it or not , immensely entertaining , a david and goliath story that 's still very much playing itself out .
1;goyer 's screenplay and direction are thankfully understated , and he has drawn excellent performances from his cast .
1;thrilling , provocative and darkly funny , this timely sci-fi mystery works on so many different levels that it not only invites , it demands repeated viewings .
0;consists of a plot and jokes done too often by people far more talented than ali g
0;the overall feel of the film is pretty cheesy , but there 's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction .
0;the only way this supernatural snore-fest could give anyone a case of the frights is if they were put to sleep by the movie and had a nightmare .
1;the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure .
0;no reason for anyone to invest their hard-earned bucks into a movie which obviously did n't invest much into itself either .
1;that zhang would make such a strainingly cute film -- with a blind orphan at its center , no less -- indicates where his ambitions have wandered .
1;mr. wedge and mr. saldanha handle the mix of verbal jokes and slapstick well .
0;disturbingly superficial in its approach to the material .
1;a startling and fresh examination of how the bike still remains an ambiguous icon in chinese society .
1;superior genre storytelling , which gets under our skin simply by crossing the nuclear line .
0;-lrb- u -rrb- nrelentingly stupid .
0;it might as well have been problem child iv .
1;a compelling portrait of moral emptiness
1;smith 's approach is never to tease , except gently and in that way that makes us consider our own eccentricities and how they are expressed through our homes .
0;suffocated at conception by its munchausen-by-proxy mum .
1;engagingly captures the maddening and magnetic ebb and flow of friendship .
0;the issue of faith is not explored very deeply
1;binoche and magimel are perfect in these roles .
1;foster nails the role , giving a tight , focused performance illuminated by shards of feeling .
0;mocking them now is an exercise in pointlessness .
0;all the necessary exposition prevents the picture from rising above your generic sand 'n' sandal adventure .
1;there is n't a weak or careless performance amongst them .
1;the film runs on equal parts of innocence and wisdom -- wisdom that comes with experience .
1;"the film is faithful to what one presumes are the book 's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are ."
0;arnold 's jump from little screen to big will leave frowns on more than a few faces .
1;never -lrb- sinks -rrb- into exploitation .
1;director ferzan ozpetek creates an interesting dynamic with the members of this group , who live in the same apartment building .
0;all ends well , sort of , but the frenzied comic moments never click .
1;roman coppola may never become the filmmaker his dad was , but heck -- few filmmakers will .
0;it tries too hard , and overreaches the logic of its own world .
1;a worthy entry into a very difficult genre .
1;it dares to be a little different , and that shading is what makes it worthwhile .
0;it will come as no surprise that the movie is n't scary .
1;... mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .
1;the hours makes you examine your own life in much the same way its characters do , and the experience is profound .
1;even with all those rough edges safely sanded down , the american insomnia is still pretty darned good .
0;when -lrb- de palma 's -rrb- bad , he 's really bad , and femme fatale ranks with the worst he has done .
0;a gimmick in search of a movie : how to get carvey into as many silly costumes and deliver as many silly voices as possible , plot mechanics be damned .
0;the plot is very clever , but boyd weighs it down with too many characters and events , all intertwined and far too complicated to keep track of .
1;sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .
1;huppert gives erika a persona that is so intriguing that you find yourself staring hypnotically at her , trying to understand her and wondering if she 'll crack .
1;nicolas philibert observes life inside a one-room schoolhouse in northern france in his documentary to be and to have , easily one of the best films of the year .
0;will only satisfy those who ca n't tell the difference between the good , the bad and the ugly .
0;as with too many studio pics , plot mechanics get in the way of what should be the lighter-than-air adventure .
1;newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .
0;"one hour photo is an intriguing snapshot of one man and his delusions ; it 's just too bad it does n't have more flashes of insight ."
1;only an epic documentary could get it all down , and spike lee 's jim brown : all american at long last gives its subject a movie worthy of his talents .
1;choose your reaction : a. -rrb- that sure is funny !
1;with the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .
0;a well acted and well intentioned snoozer .
1;everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids .
1;a work of intricate elegance , literary lyricism and profound common sense .
