review;sentiment
"This movie was a low point for both Jason Robards and Sam Peckinpah. Major plot points are taken directly from Sergio Leone's masterpiece ""Once Upon a Time in the West"" (released two years earlier and also featuring Robards): A man finds a watering hole is found in the desert, being the only water for many miles in every direction, he plans to build a 'station' around the hole and to ensure there's a love interest, he falls in love with a prostitute. To this add an intemperate preacher, bad music, silly fast action shots, even sillier T&A shots - and there you go. There is little question why it failed at the box office. The real question is ""how did it make it that far?"".";negative
"Anthony Quinn is a master at capturing our heart and sympathy. He portrays a Romanian peasant with a below average IQ, harassed by his wife to do more. It's WWII and the Nazis have taken over his country. Soon he finds himself digging entrenchments hoping to benefit himself in his wife's eyes. The Nazis have different ideas. Through the next years we watch events unfold through his naive eyes, but all he wants to do is go home. His manipulations and ill luck just get him in further hot water. Finally, through no fault of his own, we see his picture on the cover of ""Der Spiegel"" as the perfect Aryan. The war ends and the allies put him on trial for war crimes. But all our peasant wants to do is return home to his wife.";positive
"** Black Dragons (1942) William Nigh ~ Bela Lugosi, Joan Barclay, Clayton Moore <br /><br />""Just prior to the start of World War II, Dr. Melcher (Bela Lugosi), a world-famous surgeon, is brought in by Japan's Black Dragon Society as part of a secret plan. Dr. Melcher operates on six Black Dragon Society operatives and transforms them into exact duplicates of 6 high ranking American businessmen who are replaced by these look-alikes. With their operatives in place, the Black Dragon Society's plan to sabotage the American war effort appears to be set but, the F.B.I. Chief and an agent begin to piece together the clues that hopefully uncover this sinister plot,"" according to the DVD sleeve's synopsis.<br /><br />That synopsis gives away the entire ending; which, in this case, might be a good thing. ""Black Dragons"" is an incredible, wildly inconsistent muddle. A wiser course of action would have been to stay with the teasing supernatural angle. In early scenes, Mr. Lugosi (as Monsieur Colomb) is effectively creepy. Confusing Joan Barclay (as Alice Saunders), future ""Lone Ranger"" Clayton Moore (as Dick Martin), along with a cast of old stage and silent veterans do the best they can with a story that looks as if filmmakers were making it up as they went along.";negative
This movie is possibly the cheapest, cheesiest, and poorest sequel ever made.<br /><br />Yet, it is the funniest and most idiotic movie by Disney, and will guarantee laughs at the sappy stories and lame plots from start to finish.<br /><br />It's a group of short stories that seem like bad fanfictions.<br /><br />*SPOILER ALERT* The first one's all about Beast and Belle being petty over a pathetic argument. Then, three loser new characters decide to patch things up by forging a letter of forgiveness to give to Belle. Part way through this little episode, Belle has wall eyes, which made my siblings and I laugh so hard. Then, she and the Beast fight more over the letter... and later learn the meaning of forgiveness. How old are they??? Certainly old enough to know the meaning of forgiveness.<br /><br />Then, the next one's all about Lumiere being the world's biggest dope when it comes to romance. This coming from the man who could woo anything female. And they make FiFi a psychotic villainess who tries to kill Belle, and winds up getting off scotch-free by the end of it. What a message to send the kids!<br /><br />Then, the next one's all about Mrs. Potts being angsty. And the next one after that's all about Beast becoming overly possessive of a bird, to the point where he just seems downright silly.<br /><br />The animation's so ugly, it kills. There are at least 100 mistakes you can plainly see... and the coloring is awful.<br /><br />Belle's a simpering sap who blubbers whenever something goes wrong. Plus, she's petty and very different from the usual Belle.<br /><br />And the side characters are annoying... (I mean, Cogsworth and Lumiere fight almost all the time. I know they did that in the movie, but it was overdone in this.)<br /><br />But the worst character is Mrs. Potts. She's ruined in this. I can't even describe it. Just buy it and see for yourself.<br /><br />I give it a 1/10 for the sap, but I give it a 10/10 for comedy.;negative
This was what black society was like before the crack epidemics, gangsta rap, and AIDS that beset the ghettos in the eighties. Decent, hardworking families that struggled to get by and all the traumas and tribulations they faced. Black America was a different group of people in the seventies. Still full of hope and flying high on the civil rights movements of the sixties, times were hard but still worth fighting for. Keepin' your head above water, making a wave when you can, this show showed how black society struggled to work together as people and families, before they started to prey on each other and everyone else in order to survive the horrors of the ghettos. It is heart-breaking to see what the black ghettos were like then and what they have become now.;positive
"Possible Spoilers, Perhaps. I must say that ""Cinderella II: Dreams Come True"" is one of the worst movies ever made. First of all, the movie was made during the height of Disney's sequel rampage. It was created around the same time as ""The Little Mermaid II,"" ""The Jungle Book II,"" and ""Peter Pan II,"" all of which were disservices to their original film classics. (Disney also made ""The Hunchback of Notre Dame II"" and ""Atlantis II,"" but I'm going to drop that topic because their original movies were never really classics in the first place."") Let me go ahead and say that I am an avid supporter of good Disney films, and I absolutely adore the original Disney ""Cinderella."" The sequel to ""Cinderella,"" however, was a waste of time. The character of Cinderella in the sequel was so very unlike the original girl that I grew up watching. In the original, Cinderella was kind and loving. The new Cinderella had very out-of-character moments with current-era phrasing like, ""I'm going to do this banquet my way!"" Let me also tell you that new Cinderella (as I have affectionately named her) says, ""Ewww!"" That is the anti-Cinderella. I try to find the best in people, but in the sequel, Anastasia, one of the stepsisters, is good! What the heck? Why? They made it all out to be like Lady Tremaine and Drizella are just horrible family members for poor little Anastasia. My question to the world: did the people at Disney watch the original ""Cinderella"" when making this sequel? Well, it surely doesn't seem so. If I remember correctly, Anastasia was just as abusive to Cinderella as Drizella and Lady Tremaine. I am all for redemption and forgiveness, but there was no point of redemption for Anastasia in this movie. In the first one, Anastasia was evil. In the second one, she is good. One just can't leave a story like this. I hope Disney realizes that this movie, among other movies, is shaming Walt Disney's name. Perhaps now that Michael Eisner is gone, things will start shaping up around the House of Mouse.";negative
"This is a great film. From reading other reviews, I can see that I'm not the only one who shed a tear. Tamilyn Tomita acted with such skill and conviction, she made the ending heartfelt and memorable. In the hands of a lesser actress, her last scene would have seemed trite and corny. One would never guess this film was done on a tight, limited budget. The cinematography is gorgeous and there are a number of big name actors. The script is so wonderful, I can see why they all wanted to be in it. If you watch the long, long list of credits at the end, you'll see that half of Hawaii pitched in to make this film happen, and for good reason. The soundtrack (available on CD) is absolutely beautiful and sets the mood throughout the film. My only ""complaint"" is that I almost didn't want the film to end.";positive
To paraphrase the previous reviewer's comments, if you're a Stooges fan, avoid this one at all costs! My basic question is, being the experienced troopers of comedy that Moe and Larry were, why did they insist on attempting to continue the act when it was so obvious that their home studio, Columbia, was so clearly not interested in giving them serious writers and veteran comedy directors? This movie plays like someone who's giving a pale imitation of the trio and you can see how very hard Moe and Larry are working to make every little bit of slapstick relevant. Joe De Rita, despite his background in vaudeville is just not up to the job as a replacement for Curly, Shemp, or even Joe Besser. If that's who Moe and Larry had left to pick from, they should have just closed up shop and enjoy their retirement years. Leaving us fans with better memories of far better films they had done earlier. Always leave them laughing is the motto for comedy and always quit while you're on top. Hence Seinfeld's leaving the sitcom while right up there, instead of sticking around for the inevitable decline.;negative
"I was about 12 years old when I saw this classic ""Casper the Friendly Ghost"" cartoon. Figured it was an early one since Casper didn't look *right*, the same way Porky Pig doesn't look *right* in the old 1930's cartoons. But I digress...<br /><br />Anyway, this episode in the friendly phantom's afterlife concerns him befriending a young fox todd whom he names Ferdie. I remember being happy to see Casper have a friend, as those who have watched the cartoons are wont to know that most people run away from him, screaming ""A Ghost!""<br /><br />Casper and Ferdie have some fun together until someone else shows up... I hate to leave you with a semi-spoiler, but the cartoon is only seven minutes long, so you can't really be too ambiguous. Besides, anyone who reads the IMDb synopsis of the cartoon can deduce what happens next...<br /><br />The finale is a bit heartbreaking. In fact, it's probably the saddest I've ever felt watching a cartoon. But that only means that it moved me, which probably explains why I decided to write a comment on this particular cartoon and not very many others. Or heck, the fact that I actually REMEMBER this cartoon at all is due to its emotional effect on me -- I haven't seen it since. But the cartoon does end on an upbeat note, and I was pleased to see Casper and Ferdie happy again.<br /><br />I'd give this cartoon 8 out of 10 stars. Second only to the Warner Bros. cartoon ""Peace on Earth,"" this is the most I've ever been moved by an animated short.";positive
SPOILERS: I'm always surprised at how many people gave this game good reviews. It was awful. The script and voice acting alone ruined it. Gabriel and Grace are the most unlikeable characters in the game. You almost pray for their deaths. And worst of all, there are less vampires in this game than there were werewolves in The Beast Within.<br /><br />The lack of real vampires was incredibly disappointing. If you're expecting some kind of Anne Rice style vampire story, forget it. This game's story has very little to do with vampires. You won't even see any till about the very end and even then, you won't get to fight them.<br /><br />The story has radical, and pretty much blasphemous, views of Christianity. I'm amazed it got off the drawing board. I'm not even Christian and I found it offensive. Mostly, the story centers around a search for The Holy Grail and buried treasure. The kidnapping of a royal baby, which should have been the focus, really gets pushed aside. There is no sense of urgency for Gabriel to find the baby. In fact, he almost never asks anyone about the baby after the first few time blocks.<br /><br />The graphics are pretty bad. The characters move about at a snail's pace even on the best of systems. They are chunky and outdated. And it's hard to go from the FMV of The Beast Within to this horrible game engine for Blood of the Sacred.<br /><br />The relationship between Gabriel and Grace takes an awful turn, too. I really don't know why it was so horribly rushed, but they do sleep together. And it's not fun. Gabriel spends most of the game telling his best friend Mosely how he thinks of Grace as more of a sister and he doesn't think she's the one for him. And he seems really grossed out that they slept together. But he's so unlikeable throughout the game, that you almost don't even care at that point. His dialogue was the worst in the game. And he was constantly making stupid sexual innuendos at anything female the entire game. By the end of the game, Grace leaves him with what appears to be a Dear John letter. I guess she was as fed up with him as most of the players were.<br /><br />I found the story to be annoying and boring. I was expecting to play a story of a royal baby who was kidnapped by vampires. And I was expecting to get to see and fight vampires, maybe even have Gabriel or Grace turn into one. But no. Instead, the story focused on the author's warped vision of Christianity. What a shame. Here they had the elements for a great adventure, and instead we got this.<br /><br />For me, the only interesting parts of the game were actually at the very end. We do get a few action style puzzles at the end. But it wasn't worth suffering through the entire game to get to them.<br /><br />I can't really recommend this game. I had gotten it back when it came out, years ago, and I hated the game engine so much that I shelved it for years. I only recently dusted it off to see what I'd been missing. And now, I'm very sorry that I did. My favorite characters were ruined. I hope there will be a fourth game just to redeem the series. And I hope they get it right next time. It would be a terrible shame to end the series with this installment.;negative
